ID,Name,Service,Cadre,Reference_Value,Qualification,Subject,Division,Source,Category_of_Subject
WB006200,Shri Mn Chaudhuri,Indian Administrative Service,West Bengal,3,P.G.,Public Admn,Ordinary,Supremo,"Governance, Law and Management"
HP000500,Shri Kc Pandeya,Indian Administrative Service,Himachal Pradesh,0,Graduate,History,First,Supremo,Social Science and Liberal Arts
HP000500,Shri Kc Pandeya,Indian Administrative Service,Himachal Pradesh,1,P.G.,History,First,Supremo,Social Science and Liberal Arts
HY002400,Shri Pp Caprihan,Indian Administrative Service,Haryana,0,Graduate,Physics,First,Supremo,Natural Sciences
HY002400,Shri Pp Caprihan,Indian Administrative Service,Haryana,1,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
KL002200,Shri R Gopalaswamy,Indian Administrative Service,Kerala,0,Graduate,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
KN004600,Shri Pr Dubhashi,Indian Administrative Service,Karnataka,0,Diploma,Economics,Ordinary,Supremo,Social Science and Liberal Arts
KN004600,Shri Pr Dubhashi,Indian Administrative Service,Karnataka,1,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
KN004600,Shri Pr Dubhashi,Indian Administrative Service,Karnataka,2,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,0,Graduate,Chemistry,Ordinary,Supremo,Natural Sciences
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,0,Graduate,Physics,First,Supremo,Natural Sciences
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,1,P.G.,Physics,First,Supremo,Natural Sciences
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,1,Graduate,Law,Second,Supremo,"Governance, Law and Management"
MH008000,Shri V T Chari,Indian Administrative Service,Maharashtra,0,Graduate,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
MH008000,Shri V T Chari,Indian Administrative Service,Maharashtra,1,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,0,Graduate,English,First,Supremo,Languages and Fine Arts
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,1,Graduate,Law,First,Supremo,"Governance, Law and Management"
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,2,P.G.,History,First,Supremo,Social Science and Liberal Arts
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,0,Graduate,Physics,Ordinary,Supremo,Natural Sciences
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,1,P.G.,Chemistry,Ordinary,Supremo,Natural Sciences
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,0,Graduate,Hindi,First,Supremo,Languages and Fine Arts
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,1,P.G.,Physics,First,Supremo,Natural Sciences
AP005900,Shri Gr Nair,Indian Administrative Service,Andhra Pradesh,0,Graduate,History,Second,Supremo,Social Science and Liberal Arts
AP006000,Shri B K Rao,Indian Administrative Service,Andhra Pradesh,0,Graduate,Geology,Ordinary,Supremo,Natural Sciences
AP006000,Shri B K Rao,Indian Administrative Service,Andhra Pradesh,1,P.G.,Petrology,Ordinary,Supremo,Natural Sciences
AP006100,Shri Mg Krishnan,Indian Administrative Service,Andhra Pradesh,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
AP006100,Shri Mg Krishnan,Indian Administrative Service,Andhra Pradesh,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
AP006500,Shri Ka Ansari,Indian Administrative Service,Andhra Pradesh,0,Graduate,Philosophy,Ordinary,Supremo,Social Science and Liberal Arts
AP006500,Shri Ka Ansari,Indian Administrative Service,Andhra Pradesh,1,P.G.,Philosophy,Ordinary,Supremo,Social Science and Liberal Arts
BH008800,Shri K Ramanujam,Indian Administrative Service,Bihar,0,Graduate,Statistics,First,Supremo,"Engineering, Technology and Mathematics"
BH008800,Shri K Ramanujam,Indian Administrative Service,Bihar,1,P.G.,Commerce,Second,Supremo,Finance
BH008900,Shri Ishwari Prasad,Indian Administrative Service,Bihar,0,Diploma,Sociology,First,Supremo,Social Science and Liberal Arts
BH008900,Shri Ishwari Prasad,Indian Administrative Service,Bihar,1,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
BH008900,Shri Ishwari Prasad,Indian Administrative Service,Bihar,2,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
BH009000,Shri U Vaidyanathan,Indian Administrative Service,Bihar,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
BH009000,Shri U Vaidyanathan,Indian Administrative Service,Bihar,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
BH009000,Shri U Vaidyanathan,Indian Administrative Service,Bihar,2,P.G.,Political Sc.,First,Supremo,Social Science and Liberal Arts
BH009100,Shri S S Dhanoa,Indian Administrative Service,Bihar,0,Graduate,Chemistry,Third,Supremo,Natural Sciences
BH009100,Shri S S Dhanoa,Indian Administrative Service,Bihar,1,Graduate,Law,Second,Supremo,"Governance, Law and Management"
BH009100,Shri S S Dhanoa,Indian Administrative Service,Bihar,2,P.G.,Political Sc.,Second,Supremo,Social Science and Liberal Arts
UP015300,Shri Prem Kumar,Indian Administrative Service,Uttar Pradesh,0,Graduate,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
UP015300,Shri Prem Kumar,Indian Administrative Service,Uttar Pradesh,1,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
UP015400,Shri Svs Juneja,Indian Administrative Service,Uttar Pradesh,0,Graduate,History,Second,Supremo,Social Science and Liberal Arts
UP015400,Shri Svs Juneja,Indian Administrative Service,Uttar Pradesh,1,P.G.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
UP015600,Shri Anand Sarup,Indian Administrative Service,Uttar Pradesh,0,Graduate,Economics,Ordinary,Supremo,Social Science and Liberal Arts
UP015600,Shri Anand Sarup,Indian Administrative Service,Uttar Pradesh,1,P.G.,English Lit,Ordinary,Supremo,Languages and Fine Arts
UT000400,Shri R M Agrawal,Indian Administrative Service,A G M U T,0,Diploma,Intnl.affairs,Ordinary,Supremo,"Governance, Law and Management"
UT000400,Shri R M Agrawal,Indian Administrative Service,A G M U T,1,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
UT000400,Shri R M Agrawal,Indian Administrative Service,A G M U T,2,Graduate,Law,First,Supremo,"Governance, Law and Management"
UT000400,Shri R M Agrawal,Indian Administrative Service,A G M U T,3,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
WB007000,Shri Ss Varma,Indian Administrative Service,West Bengal,0,Graduate,Civil Engg,First,Supremo,"Engineering, Technology and Mathematics"
WB007000,Shri Ss Varma,Indian Administrative Service,West Bengal,1,Graduate,Physics,Second,Supremo,Natural Sciences
HY002600,Shri Lc Gupta,Indian Administrative Service,Haryana,0,Graduate,Mathematics,Second,Supremo,"Engineering, Technology and Mathematics"
HY002600,Shri Lc Gupta,Indian Administrative Service,Haryana,1,P.G.,English,Third,Supremo,Languages and Fine Arts
KL002600,Shri V Ramachandran,Indian Administrative Service,Kerala,0,Graduate,Geology,First,Supremo,Natural Sciences
KL002600,Shri V Ramachandran,Indian Administrative Service,Kerala,1,P.G.,Development Economics,Ordinary,Supremo,Social Science and Liberal Arts
KL002600,Shri V Ramachandran,Indian Administrative Service,Kerala,2,P.G.,Geology,Ordinary,Supremo,Natural Sciences
KL002600,Shri V Ramachandran,Indian Administrative Service,Kerala,3,P.G.,Petrology,Ordinary,Supremo,Natural Sciences
KN004800,Shri Ab Datar,Indian Administrative Service,Karnataka,0,Graduate,Commerce,First,Supremo,Finance
KN004800,Shri Ab Datar,Indian Administrative Service,Karnataka,1,Graduate,Law,First,Supremo,"Governance, Law and Management"
KN004900,Shri S Varadan,Indian Administrative Service,Karnataka,0,Graduate,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
OR005500,Shri Js Baijal,Indian Administrative Service,Odisha,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
OR005500,Shri Js Baijal,Indian Administrative Service,Odisha,1,P.G.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
WB006800,Ms. Roma Mazumdar,Indian Administrative Service,West Bengal,0,Graduate,English,Second,Supremo,Languages and Fine Arts
MH008100,Shri A D Samant,Indian Administrative Service,Maharashtra,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
MH008100,Shri A D Samant,Indian Administrative Service,Maharashtra,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
MH008300,Shri S Ramakrishna,Indian Administrative Service,Maharashtra,0,Diploma,Electrical Engg.,Ordinary,Supremo,"Engineering, Technology and Mathematics"
MH008300,Shri S Ramakrishna,Indian Administrative Service,Maharashtra,1,Graduate,Law,Ordinary,Supremo,"Governance, Law and Management"
MH008300,Shri S Ramakrishna,Indian Administrative Service,Maharashtra,2,Graduate,Mathematics,Ordinary,Supremo,"Engineering, Technology and Mathematics"
MH008300,Shri S Ramakrishna,Indian Administrative Service,Maharashtra,3,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
MH008400,Shri K K Uppal,Indian Administrative Service,Maharashtra,0,Graduate,English Lit,Second,Supremo,Languages and Fine Arts
MH008400,Shri K K Uppal,Indian Administrative Service,Maharashtra,1,P.G.,English Lit,Second,Supremo,Languages and Fine Arts
MP007800,Shri B Swarup,Indian Administrative Service,Madhya Pradesh,0,Graduate,English,Second,Supremo,Languages and Fine Arts
MP007800,Shri B Swarup,Indian Administrative Service,Madhya Pradesh,1,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
MP007900,Shri Rn Chopra,Indian Administrative Service,Madhya Pradesh,0,Graduate,Zoology,Second,Supremo,Natural Sciences
MP007900,Shri Rn Chopra,Indian Administrative Service,Madhya Pradesh,1,P.G.,Geology,First,Supremo,Natural Sciences
MP008000,Dr. Kcs Acharya,Indian Administrative Service,Madhya Pradesh,0,Graduate,Commerce,Second,Supremo,Finance
MP008000,Dr. Kcs Acharya,Indian Administrative Service,Madhya Pradesh,1,P.G.,Commerce,First,Supremo,Finance
MP008000,Dr. Kcs Acharya,Indian Administrative Service,Madhya Pradesh,2,Ph. D.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
MP008100,Shri Ms Singh Deo,Indian Administrative Service,Madhya Pradesh,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
MP008100,Shri Ms Singh Deo,Indian Administrative Service,Madhya Pradesh,1,P.G.,History,Second,Supremo,Social Science and Liberal Arts
OR005300,Shri C Venkataramani,Indian Administrative Service,Odisha,0,Graduate,Chemistry,First,Supremo,Natural Sciences
OR005300,Shri C Venkataramani,Indian Administrative Service,Odisha,1,P.G.,Chemistry,First,Supremo,Natural Sciences
OR005400,Shri Nk Panda,Indian Administrative Service,Odisha,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
OR005400,Shri Nk Panda,Indian Administrative Service,Odisha,1,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
OR005600,Shri P S H Mohamed,Indian Administrative Service,Odisha,0,Graduate,English Lit,First,Supremo,Languages and Fine Arts
PB002600,Shri P K Kathpalia,Indian Administrative Service,Punjab,0,Graduate,English,First,Supremo,Languages and Fine Arts
PB002600,Shri P K Kathpalia,Indian Administrative Service,Punjab,1,P.G.,English,Second,Supremo,Languages and Fine Arts
RJ005900,Shri Mohan Lal Anand,Indian Administrative Service,Rajasthan,0,Graduate,Physics,First,Supremo,Natural Sciences
RJ005900,Shri Mohan Lal Anand,Indian Administrative Service,Rajasthan,1,P.G.,Physics,First,Supremo,Natural Sciences
TN005600,Shri Tn Seshan,Indian Administrative Service,Tamil Nadu,0,Graduate,Physics,First,Supremo,Natural Sciences
TN005600,Shri Tn Seshan,Indian Administrative Service,Tamil Nadu,1,P.G.,Public Admn,First,Supremo,"Governance, Law and Management"
TN005700,Shri Pn Vedanaraynan,Indian Administrative Service,Tamil Nadu,0,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
TN005700,Shri Pn Vedanaraynan,Indian Administrative Service,Tamil Nadu,1,P.G.,Political Sc.,Second,Supremo,Social Science and Liberal Arts
TN005800,Shri As Ahluwalia,Indian Administrative Service,Tamil Nadu,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
TN005800,Shri As Ahluwalia,Indian Administrative Service,Tamil Nadu,1,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
AP006700,Shri K Subramanyam,Indian Administrative Service,Andhra Pradesh,0,Graduate,Law,Second,Supremo,"Governance, Law and Management"
AP006700,Shri K Subramanyam,Indian Administrative Service,Andhra Pradesh,1,Graduate,Physics,Third,Supremo,Natural Sciences
AP006800,Shri V K Dar,Indian Administrative Service,Andhra Pradesh,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
AP006800,Shri V K Dar,Indian Administrative Service,Andhra Pradesh,1,P.G.,Philosophy,First,Supremo,Social Science and Liberal Arts
AP006900,Shri V P Ramarao,Indian Administrative Service,Andhra Pradesh,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
AP006900,Shri V P Ramarao,Indian Administrative Service,Andhra Pradesh,1,Graduate,Law,Second,Supremo,"Governance, Law and Management"
AP007000,Shri Spb Subramanian,Indian Administrative Service,Andhra Pradesh,0,Graduate,Chemistry,Ordinary,Supremo,Natural Sciences
AP007000,Shri Spb Subramanian,Indian Administrative Service,Andhra Pradesh,1,P.G.,Chemistry,First,Supremo,Natural Sciences
AP007100,Shri Kvss Narayana,Indian Administrative Service,Andhra Pradesh,0,Graduate,Accountancy,Second,Supremo,Finance
AP007100,Shri Kvss Narayana,Indian Administrative Service,Andhra Pradesh,1,Graduate,Law,First,Supremo,"Governance, Law and Management"
AP007100,Shri Kvss Narayana,Indian Administrative Service,Andhra Pradesh,2,P.G.,Accountancy,Second,Supremo,Finance
AP007200,Shri D S Guruswamy,Indian Administrative Service,Andhra Pradesh,0,Graduate,Physics,Second,Supremo,Natural Sciences
AP007200,Shri D S Guruswamy,Indian Administrative Service,Andhra Pradesh,1,P.G.,Physics,First,Supremo,Natural Sciences
AP007400,Shri Narendra Luther,Indian Administrative Service,Andhra Pradesh,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
AP007400,Shri Narendra Luther,Indian Administrative Service,Andhra Pradesh,1,P.G.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
BH009500,Shri Ps Kohli,Indian Administrative Service,Bihar,0,Graduate,Chemistry,First,Supremo,Natural Sciences
BH009500,Shri Ps Kohli,Indian Administrative Service,Bihar,1,P.G.,Chemistry,First,Supremo,Natural Sciences
BH009600,Shri R Srinivasan,Indian Administrative Service,Bihar,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
BH009600,Shri R Srinivasan,Indian Administrative Service,Bihar,1,P.G.,Economic Dev.,Ordinary,Supremo,Social Science and Liberal Arts
BH009800,Shri Ss Sharan,Indian Administrative Service,Bihar,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
BH009900,Shri Vv Nathan,Indian Administrative Service,Bihar,0,Graduate,Physics,Second,Supremo,Natural Sciences
BH009900,Shri Vv Nathan,Indian Administrative Service,Bihar,1,P.G.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
GJ004100,Shri Rv Chandramaoul,Indian Administrative Service,Gujarat,0,Graduate,Mathematics,Second,Supremo,"Engineering, Technology and Mathematics"
GJ004200,Ms. S L Singla,Indian Administrative Service,Gujarat,0,Graduate,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
GJ004200,Ms. S L Singla,Indian Administrative Service,Gujarat,1,P.G.,English Lit,Second,Supremo,Languages and Fine Arts
UP017300,Shri Gn Mehra,Indian Administrative Service,Uttar Pradesh,0,Graduate,History,First,Supremo,Social Science and Liberal Arts
UP017300,Shri Gn Mehra,Indian Administrative Service,Uttar Pradesh,1,Graduate,Law,First,Supremo,"Governance, Law and Management"
UP017300,Shri Gn Mehra,Indian Administrative Service,Uttar Pradesh,2,P.G.,History,First,Supremo,Social Science and Liberal Arts
UP017400,Shri Jak Krishnan,Indian Administrative Service,Uttar Pradesh,0,Diploma,German,First,Supremo,Languages and Fine Arts
UP017400,Shri Jak Krishnan,Indian Administrative Service,Uttar Pradesh,1,Graduate,Chemistry,Second,Supremo,Natural Sciences
UP017400,Shri Jak Krishnan,Indian Administrative Service,Uttar Pradesh,2,P.G.,Physical Chem,Second,Supremo,Natural Sciences
UP017500,Shri Pc Jain,Indian Administrative Service,Uttar Pradesh,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
UP017500,Shri Pc Jain,Indian Administrative Service,Uttar Pradesh,1,Graduate,Law,First,Supremo,"Governance, Law and Management"
UP017500,Shri Pc Jain,Indian Administrative Service,Uttar Pradesh,2,P.G.,Economics,Second,Supremo,Social Science and Liberal Arts
UT000600,Shri K Banerji,Indian Administrative Service,A G M U T,0,N.A.,N.A.,Ordinary,Supremo,N.A.
WB007500,Shri D Bandhopadhyay,Indian Administrative Service,West Bengal,0,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
WB007500,Shri D Bandhopadhyay,Indian Administrative Service,West Bengal,1,P.G.,Economics,First,Supremo,Social Science and Liberal Arts
WB007600,Shri Dw Telang,Indian Administrative Service,West Bengal,0,Diploma,Indl.mgt,Ordinary,Supremo,"Governance, Law and Management"
WB007600,Shri Dw Telang,Indian Administrative Service,West Bengal,1,Graduate,Economics,First,Supremo,Social Science and Liberal Arts
WB007600,Shri Dw Telang,Indian Administrative Service,West Bengal,2,Graduate,Law,First,Supremo,"Governance, Law and Management"
WB007600,Shri Dw Telang,Indian Administrative Service,West Bengal,3,P.G.,Economics,Ordinary,Supremo,Social Science and Liberal Arts
WB007700,Shri A Choudhuri,Indian Administrative Service,West Bengal,0,Graduate,History,Second,Supremo,Social Science and Liberal Arts
WB007700,Shri A Choudhuri,Indian Administrative Service,West Bengal,1,Graduate,Law,Ordinary,Supremo,"Governance, Law and Management"
WB007700,Shri A Choudhuri,Indian Administrative Service,West Bengal,2,P.G.,Political Sc.,Second,Supremo,Social Science and Liberal Arts
WB007800,Shri Rn Sen Gupta,Indian Administrative Service,West Bengal,0,Graduate,History,Second,Supremo,Social Science and Liberal Arts
WB007800,Shri Rn Sen Gupta,Indian Administrative Service,West Bengal,1,P.G.,History,Second,Supremo,Social Science and Liberal Arts
KL002900,Shri S Narayanaswamy,Indian Administrative Service,Kerala,0,Graduate,Chemistry,First,Supremo,Natural Sciences
KL002900,Shri S Narayanaswamy,Indian Administrative Service,Kerala,1,P.G.,Chemistry,First,Supremo,Natural Sciences
KN005300,Shri Ksn Murthy,Indian Administrative Service,Karnataka,0,Graduate,Botany,First,Supremo,Natural Sciences
KN005300,Shri Ksn Murthy,Indian Administrative Service,Karnataka,1,P.G.,Botany,First,Supremo,Natural Sciences
AM003800,Shri J C Nampui,Indian Administrative Service,Assam Meghalya,0,Graduate,English,First,Supremo,Languages and Fine Arts
OR006000,Shri Tu V Sekharan,Indian Administrative Service,Odisha,0,Graduate,Economics,Second,Supremo,Social Science and Liberal Arts
MH008900,Shri K S R Krishnan,Indian Administrative Service,Maharashtra,0,Graduate,Physics,First,Supremo,Natural Sciences
MH008900,Shri K S R Krishnan,Indian Administrative Service,Maharashtra,1,P.G.,Mathematics,First,Supremo,"Engineering, Technology and Mathematics"
MH008900,Shri K S R Krishnan,Indian Administrative Service,Maharashtra,2,P.G.,Physics,Ordinary,Supremo,Natural Sciences
MH009100,Shri John Innocent,Indian Administrative Service,Maharashtra,0,Graduate,Chemistry,First,Supremo,Natural Sciences
MH009300,Shri Kg Paranjpe,Indian Administrative Service,Maharashtra,0,Graduate,Law,Second,Supremo,"Governance, Law and Management"
MH009300,Shri Kg Paranjpe,Indian Administrative Service,Maharashtra,1,Graduate,Philosophy,First,Supremo,Social Science and Liberal Arts
MP008800,Shri S C Vaish,Indian Administrative Service,Madhya Pradesh,0,Certificate,French,Ordinary,Supremo,Languages and Fine Arts
MP008800,Shri S C Vaish,Indian Administrative Service,Madhya Pradesh,1,Graduate,History,Second,Supremo,Social Science and Liberal Arts
MP008800,Shri S C Vaish,Indian Administrative Service,Madhya Pradesh,2,Graduate,Law,Ordinary,Supremo,"Governance, Law and Management"
